X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
-130.832,-3725.193,74.21,0.001,0.001,0,0.001,29.3086,0.855076,-0.515532,0.038051,-0.040292,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:14.813,FALSE,
-128.769,-3728.345,77.54,0.005,0.004,0,0.003,29.3627,0.855076,-0.515535,0.038062,-0.040249,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:20.573,FALSE,
-126.653,-3731.475,80.832,0.004,0.003,0,0.003,29.4171,0.855081,-0.515531,0.038083,-0.040181,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:26.333,FALSE,
-124.468,-3734.592,84.121,0.004,0.003,0,0.003,29.4739,0.855094,-0.51551,0.038092,-0.040154,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:32.193,FALSE,
-122.217,-3737.686,87.405,0.003,0.003,0,0.001,29.5292,0.855099,-0.515502,0.038095,-0.040146,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:37.873,FALSE,
-119.923,-3740.761,90.68,0.005,0.005,0,0.002,29.5845,0.855106,-0.515493,0.038095,-0.040115,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:43.633,FALSE,
-117.569,-3743.816,93.935,0.004,0.003,0,0.002,29.6413,0.855121,-0.51547,0.038097,-0.040097,0.34,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:49.393,FALSE,
-115.156,-3746.845,97.179,0.005,0.003,0,0.004,29.6972,0.855129,-0.515457,0.038083,-0.040115,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:20:55.153,FALSE,
-112.685,-3749.848,100.384,0.005,0.004,0,0.003,29.7501,0.855126,-0.515461,0.038049,-0.040146,0.18,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:01.093,FALSE,
-110.164,-3752.832,103.569,0.004,0.003,0,0.003,29.8044,0.855133,-0.515451,0.038053,-0.040127,0.31,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:06.714,FALSE,
-107.591,-3755.78,106.725,0.004,0.003,0,0.003,29.8551,0.855123,-0.515468,0.038013,-0.040155,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:12.473,FALSE,
-104.959,-3758.706,109.843,0.005,0.002,0,0.004,29.9074,0.855121,-0.515471,0.03797,-0.040206,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:18.233,FALSE,
-102.278,-3761.611,112.965,0.005,0.003,0,0.004,29.9603,0.855121,-0.515469,0.037934,-0.040246,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:24.013,FALSE,
-99.551,-3764.49,116.093,0.005,0.004,0,0.003,30.0153,0.855134,-0.515451,0.037918,-0.040239,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:29.773,FALSE,
-96.759,-3767.347,119.177,0.006,0.006,0,0.002,30.0676,0.855135,-0.515449,0.037892,-0.04025,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:35.573,FALSE,
-93.916,-3770.176,122.258,0.001,0.001,0,0.001,30.1199,0.855137,-0.515447,0.037875,-0.040247,0.12,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:41.333,FALSE,
-91.027,-3772.975,125.282,0.005,0.003,0,0.004,30.1717,0.855143,-0.515441,0.037864,-0.040207,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:47.114,FALSE,
-88.084,-3775.749,128.305,0.002,0.001,0,0.002,30.2244,0.855148,-0.515433,0.037861,-0.04021,0.13,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:52.873,FALSE,
-85.084,-3778.497,131.289,0.003,0.001,0,0.002,30.2768,0.855159,-0.515419,0.037896,-0.040136,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:21:58.673,FALSE,
-82.036,-3781.217,134.273,0.006,0.003,0,0.004,30.3294,0.855165,-0.515408,0.037895,-0.040126,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:04.433,FALSE,
-78.954,-3783.894,137.182,0.004,0.003,0,0.003,30.3782,0.855162,-0.515417,0.037903,-0.040093,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:10.813,FALSE,
-75.82,-3786.541,140.083,0.005,0.001,0,0.004,30.4293,0.855169,-0.515407,0.037937,-0.040032,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:16.033,FALSE,
-72.622,-3789.167,142.968,0.004,0.004,0.001,0.002,30.4815,0.855177,-0.515392,0.037975,-0.040006,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:21.773,FALSE,
-69.369,-3791.763,145.818,0.003,0.003,0,0.001,30.5312,0.855176,-0.515394,0.037986,-0.040011,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:27.553,FALSE,
-66.065,-3794.328,148.633,0.004,0.003,0,0.003,30.5813,0.855177,-0.51539,0.037972,-0.040041,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:33.373,FALSE,
-62.715,-3796.859,151.419,0.005,0.005,0,0.003,30.6298,0.855172,-0.515397,0.037958,-0.040076,0.18,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:39.114,FALSE,
-59.322,-3799.356,154.172,0.003,0.002,0,0.002,30.6792,0.855172,-0.515395,0.037953,-0.040112,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:44.893,FALSE,
-55.883,-3801.82,156.91,0.003,0.002,0,0.002,30.7291,0.855175,-0.515388,0.037916,-0.040174,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:50.693,FALSE,
-52.387,-3804.259,159.633,0.002,0.002,0,0.001,30.7778,0.855173,-0.515389,0.037887,-0.040228,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:22:56.453,FALSE,
-48.864,-3806.654,162.307,0.006,0.003,0,0.005,30.826,0.855172,-0.515389,0.037925,-0.040203,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:02.253,FALSE,
-45.292,-3809.015,164.936,0.005,0.002,0,0.004,30.8715,0.855162,-0.515405,0.037949,-0.040202,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:08.053,FALSE,
-41.668,-3811.359,167.573,0.001,0.001,0,0.001,30.9236,0.855184,-0.515369,0.037993,-0.040138,0.29,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:13.793,FALSE,
-38.006,-3813.661,170.164,0.004,0.004,0,0.002,30.9709,0.855185,-0.515368,0.03804,-0.040092,0.14,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:19.593,FALSE,
-34.307,-3815.932,172.71,0.004,0.004,0,0.002,31.018,0.855188,-0.515364,0.038088,-0.04004,0.21,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:25.373,FALSE,
-30.558,-3818.158,175.239,0.006,0.005,0,0.003,31.0657,0.855195,-0.515354,0.038095,-0.040009,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:31.273,FALSE,
-26.773,-3820.361,177.744,0.003,0.003,0,0.002,31.1133,0.855204,-0.515341,0.038115,-0.039958,0.24,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:36.914,FALSE,
-22.948,-3822.536,180.218,0.007,0.007,0,0.002,31.1591,0.855205,-0.515342,0.038124,-0.03993,0.22,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:42.714,FALSE,
-19.088,-3824.668,182.655,0.003,0.002,0,0.001,31.2049,0.85521,-0.515336,0.038126,-0.039886,0.29,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:48.533,FALSE,
-15.184,-3826.74,185.038,0.006,0.005,0,0.004,31.249,0.855207,-0.515343,0.038085,-0.039913,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:23:54.253,FALSE,
-11.253,-3828.777,187.388,0.004,0.002,0,0.004,31.292,0.855201,-0.515353,0.038032,-0.039944,0.23,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:00.093,FALSE,
-7.272,-3830.784,189.721,0.005,0.003,0,0.004,31.3358,0.8552,-0.515357,0.038,-0.039947,0.26,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:05.813,FALSE,
-3.241,-3832.754,192.012,0.007,0.005,0,0.004,31.3791,0.855197,-0.515364,0.037976,-0.039957,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:11.593,FALSE,
0.83,-3834.698,194.294,0.006,0.003,0,0.005,31.4248,0.855206,-0.51535,0.037962,-0.039954,0.19,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:17.413,FALSE,
4.938,-3836.594,196.517,0.003,0.003,0,0.002,31.4694,0.855206,-0.515347,0.037912,-0.040037,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:23.153,FALSE,
9.076,-3838.46,198.724,0.005,0.003,0,0.003,31.5159,0.85522,-0.515324,0.037896,-0.040051,0.15,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:28.993,FALSE,
13.259,-3840.283,200.884,0.002,0.001,0,0.001,31.5617,0.85523,-0.515305,0.037873,-0.040091,0.17,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:34.753,FALSE,
17.469,-3842.079,203.043,0.003,0.001,0,0.003,31.6093,0.85525,-0.515272,0.037864,-0.040102,0.15,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:40.673,FALSE,
21.713,-3843.825,205.099,0.004,0.003,0,0.002,31.6538,0.855263,-0.515251,0.037865,-0.040097,0.35,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:46.393,FALSE,
25.998,-3845.534,207.158,0.002,0.001,0,0.002,31.6958,0.855265,-0.51525,0.037888,-0.040051,0.31,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:52.153,FALSE,
30.309,-3847.218,209.167,0.002,0.001,0,0.002,31.7378,0.855265,-0.515248,0.037905,-0.040056,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:24:58.013,FALSE,
34.643,-3848.852,211.134,0.003,0.001,0,0.003,31.7801,0.855272,-0.515238,0.037925,-0.040025,0.27,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:03.673,FALSE,
39.011,-3850.447,213.047,0.005,0.005,0,0.002,31.8201,0.855269,-0.515242,0.037913,-0.040036,0.26,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:09.514,FALSE,
43.408,-3851.998,214.94,0.006,0.005,0,0.003,31.8611,0.855275,-0.515234,0.037946,-0.039977,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:15.293,FALSE,
47.848,-3853.513,216.801,0.003,0.002,0,0.002,31.9011,0.855275,-0.515236,0.037953,-0.039967,0.27,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:21.073,FALSE,
52.303,-3854.991,218.608,0.006,0.003,0,0.005,31.9396,0.855273,-0.51524,0.037938,-0.039955,0.28,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:26.933,FALSE,
56.802,-3856.417,220.391,0.003,0.003,0,0.001,31.9789,0.855272,-0.515242,0.03795,-0.039949,0.16,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:32.653,FALSE,
61.319,-3857.798,222.117,0.003,0.002,0,0.001,32.0178,0.855272,-0.515241,0.038004,-0.039895,0.16,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:38.433,FALSE,
65.856,-3859.121,223.791,0.004,0.002,0,0.004,32.0552,0.855268,-0.515248,0.038056,-0.039847,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:44.553,FALSE,
70.41,-3860.408,225.427,0.003,0.002,0,0.003,32.0903,0.855256,-0.515268,0.038054,-0.039841,0.2,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:50.193,FALSE,
75.037,-3861.661,227.037,0.002,0.001,0,0.002,32.127,0.855249,-0.515279,0.038087,-0.039826,0.26,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:25:55.853,FALSE,
79.682,-3862.881,228.632,0.003,0.003,0,0.002,32.1691,0.855261,-0.515254,0.03812,-0.039856,0.13,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:01.573,FALSE,
84.348,-3864.069,230.172,0.006,0.006,0,0.002,32.2093,0.85527,-0.515236,0.038134,-0.039888,0.25,TMC 30-B #5320,23.7,1013,48,'08.11.2022 16:26:07.353,FALSE,
