X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
368.714,-3368.111,-178.028,0.002,0.001,0,0.002,43.2278,0.253587,0.025631,0.833349,0.490475,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:00:54.352,FALSE,
397.806,-3370.538,-126.826,0.003,0.003,0,0.002,42.0856,0.286734,0.107872,0.747261,0.589702,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:01.132,FALSE,
299.738,-3430.04,-261.918,0.003,0.002,0,0.001,42.5947,0.227105,0.127978,0.797979,0.543392,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:08.452,FALSE,
350.671,-3458.753,-227.9,0.004,0.003,0,0.002,42.4837,0.334907,0.074901,0.73613,0.583386,0.24,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:15.172,FALSE,
-154.982,-3468.122,-305.608,0.002,0.001,0.001,0.002,31.5462,0.007534,0.259193,0.787765,0.558739,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:24.592,FALSE,
-68.7,-3284.792,-145.391,0.001,0.001,0,0.001,19.1736,-0.002635,0.241146,0.695445,0.676903,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:32.532,FALSE,
217.329,-3253.519,36.569,0.005,0.005,0,0.003,34.2621,0.117438,0.219395,0.603028,0.757912,0.14,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:40.553,FALSE,
25.746,-3229.253,68.335,0.002,0.001,0,0.002,23.7403,0.190521,0.016991,0.597261,0.778905,0.14,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:47.752,FALSE,
79.248,-3269.967,-47.985,0.002,0.001,0,0.002,19.5584,0.16096,0.05276,0.724944,0.667656,0.14,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:01:54.892,FALSE,
-98.946,-3277.761,-93.607,0.001,0.001,0,0.001,13.7455,0.027175,-0.03021,0.776621,0.628656,0.09,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:02.012,FALSE,
-227.819,-3395.159,-292.525,0.004,0.003,0.001,0.002,38.2764,-0.084253,0.038899,0.872772,0.479226,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:09.272,FALSE,
-353.761,-3365.049,-183.117,0.002,0.001,0,0.002,30.3129,-0.07016,-0.077181,0.821233,0.560979,0.15,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:16.232,FALSE,
-339.673,-3449.987,-220.53,0.003,0.002,0,0.001,18.2922,0.121256,0.092748,0.760379,0.631283,0.12,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:23.872,FALSE,
-394.333,-3342.836,-164.52,0.004,0.002,0,0.004,42.6219,0.318046,-0.138202,-0.830755,-0.435423,0.2,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:32.252,FALSE,
-396.975,-3321.531,48.498,0.002,0.002,0,0.001,17.8046,-0.150299,0.036443,0.743061,0.651108,0.19,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:39.252,FALSE,
-315.796,-3266.755,169.047,0.003,0.003,0.001,0.002,33.0042,-0.244941,-0.07835,0.735713,0.626571,0.3,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:46.592,FALSE,
-121.823,-3193.285,-6.452,0.005,0.004,0,0.003,26.4505,-0.136257,-0.067013,0.802178,0.577455,0.23,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:02:54.172,FALSE,
-383.844,-3299.099,239.773,0.006,0.005,0.001,0.003,38.5514,-0.157198,-0.227848,0.668499,0.690278,0.29,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:01.832,FALSE,
-479.078,-3292.112,142.644,0.004,0.003,0.001,0.003,43.693,0.064002,0.373968,-0.663289,-0.645057,0.39,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:09.012,FALSE,
-352.571,-3268.887,189.163,0.003,0.003,0,0.001,25.188,-0.088603,0.31969,-0.645689,-0.687774,0.27,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:15.872,FALSE,
-220.908,-3205.878,74.973,0.004,0.003,0,0.003,10.9521,0.077262,-0.165182,0.696218,0.694281,0.17,TMC 30-B #5320,23.5,1015,38,'20.10.2022 17:03:22.712,FALSE,
