X  [mm],Y  [mm],Z  [mm],U(95)  [mm],U(95) X  [mm],U(95) Y  [mm],U(95) Z  [mm],Tilt  [deg],Q0 ,Q1 ,Q2 ,Q3 ,Image RMS  [µm],Target,Temperature  [°C],Pressure  [mBar],Humidity  [%],Time Stamp,OTG Applied,Delete
125.693,-3432.24,125.337,0.001,0.001,0,0.001,11.711,0.065027,-0.062216,0.643026,0.760538,0.13,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:27.972,FALSE,
133.471,-3429.729,125.328,0.004,0.003,0,0.004,11.7341,0.064953,-0.062085,0.64301,0.760568,0.15,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:33.632,FALSE,
141.15,-3426.864,125.311,0.003,0.003,0,0.001,11.7532,0.06501,-0.062159,0.643004,0.760563,0.18,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:39.592,FALSE,
148.818,-3423.634,125.293,0.005,0.004,0,0.003,11.7774,0.065113,-0.062213,0.642981,0.760569,0.31,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:44.952,FALSE,
156.447,-3420.056,125.305,0.004,0.003,0,0.002,11.8028,0.065041,-0.062106,0.642982,0.760583,0.22,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:51.252,FALSE,
164.056,-3416.116,125.317,0.004,0.003,0,0.003,11.8274,0.065053,-0.062041,0.642998,0.760574,0.18,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:11:56.552,FALSE,
171.56,-3411.817,125.329,0.003,0.002,0,0.003,11.853,0.065093,-0.062114,0.642992,0.76057,0.22,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:02.252,FALSE,
179.022,-3407.168,125.307,0.003,0.002,0,0.002,11.8807,0.065113,-0.062143,0.642985,0.760571,0.27,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:07.912,FALSE,
186.469,-3402.166,125.243,0.006,0.004,0,0.003,11.9079,0.065074,-0.062093,0.642999,0.760567,0.3,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:13.692,FALSE,
193.822,-3396.817,125.185,0.005,0.004,0,0.001,11.939,0.065086,-0.062137,0.64298,0.760578,0.19,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:19.552,FALSE,
201.093,-3391.127,125.167,0.002,0.002,0,0.001,11.9775,0.064978,-0.062043,0.642942,0.760627,0.24,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:25.412,FALSE,
208.291,-3385.074,125.127,0.003,0.002,0,0.002,12.0116,0.064922,-0.062027,0.642929,0.760645,0.26,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:31.292,FALSE,
215.411,-3378.705,125.133,0.003,0.002,0,0.002,12.0473,0.064966,-0.062043,0.642924,0.760644,0.23,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:37.192,FALSE,
222.453,-3371.998,125.086,0.003,0.003,0,0.001,12.0834,0.065029,-0.062083,0.642915,0.760643,0.25,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:43.092,FALSE,
229.451,-3364.958,125.097,0.007,0.006,0,0.003,12.1254,0.065076,-0.062081,0.642891,0.760659,0.19,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:48.972,FALSE,
236.366,-3357.565,125.04,0.004,0.004,0,0.002,12.163,0.065026,-0.062016,0.642902,0.760659,0.24,TMC 30-B #5320,21.5,1016,53,'17.11.2022 09:12:54.912,FALSE,
